,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
3,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
4,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
5,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
6,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
7,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
8,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
9,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
10,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
11,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
12,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
13,3,2,3,4,5,8,7,8,9,8,11,12,8,14,8,16,17
14,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
15,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
17,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
19,1,2,3,4,5,6,7,8,9,10,11,3,13,14,15,16,17
20,1,1,3,11,11,12,13,15,15,16,11,12,13,17,15,16,17
21,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
22,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
23,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
25,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
26,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
27,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
28,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
29,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
30,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
33,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
34,1,2,13,4,5,6,7,8,9,10,11,12,13,14,15,16,17
35,1,1,9,11,13,14,7,16,9,10,11,12,13,14,15,16,17
36,1,1,11,12,13,14,14,15,16,17,11,12,13,14,15,16,17
37,1,1,11,12,13,14,15,16,16,17,11,12,13,14,15,16,17
38,1,8,10,12,15,17,7,8,9,10,11,12,13,14,15,16,17
39,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
40,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
41,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
42,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
43,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
44,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
45,1,9,16,4,5,6,7,8,9,10,11,12,13,14,15,16,17
46,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
47,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
48,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
49,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
50,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
51,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
52,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
53,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
54,1,4,12,4,5,6,7,8,9,10,11,12,13,14,15,16,17
55,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
56,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
57,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
58,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
59,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
60,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
61,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
62,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
63,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
64,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
65,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
66,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
